482.78,518.86,527.8,532.4,536.67,538.6,543.24,547.77
482.51,518.63,527.56,532.1,536.54,538.41,543,547.66
482.25,518.39,527.31,531.79,536.41,538.21,542.75,547.52
482.21,518.14,527.03,531.54,536.28,538.01,542.54,547.37
482.22,517.97,526.83,531.42,536.27,537.9,542.43,547.34
482.38,517.87,526.72,531.37,536.44,537.92,542.38,547.5
482.29,517.54,526.4,531.07,536.4,537.76,542.13,547.51
482.09,517.08,525.94,530.63,536.26,537.52,541.79,547.42
481.91,516.58,525.45,530.12,536.13,537.22,541.44,547.32
481.99,516.24,525.1,529.78,536.24,537.1,541.28,547.43
482.19,515.94,524.78,529.52,536.39,537.02,541.14,547.61
482.32,515.51,524.33,529.15,536.44,536.81,540.85,547.6
481.85,514.65,523.45,528.28,536.13,536.19,540.1,547.29
481.16,513.52,522.3,527.12,535.68,535.4,539.17,546.91
481.18,512.77,521.53,526.39,535.71,535.09,538.71,547.07
481.99,512.56,521.31,526.23,536.37,535.36,538.83,547.79
482.95,512.55,521.27,526.27,537.35,535.87,539.14,548.84
483.98,512.57,521.26,526.33,538.42,536.44,539.5,550.03
485.18,512.74,521.39,526.52,539.7,537.16,539.99,551.44
486.58,512.91,521.53,526.72,541.15,537.98,540.6,553.01
488.07,513.05,521.61,526.93,542.68,538.81,541.2,554.65
489.55,513.06,521.6,527.03,544.19,539.58,541.72,556.27
490.73,512.82,521.31,526.85,545.51,540.12,541.97,557.72
491.52,512.1,520.57,526.24,546.52,540.3,541.84,558.87
492.36,511.26,519.73,525.52,547.52,540.39,541.61,560.03
493.64,510.69,519.16,525.05,548.87,540.8,541.69,561.58
495.31,510.36,518.83,524.84,550.61,541.53,542.07,563.51
496.91,509.97,518.42,524.57,552.44,542.29,542.44,565.49
498.55,509.51,517.95,524.24,554.31,543.01,542.77,567.54
500.16,508.9,517.32,523.76,556.12,543.65,542.96,569.61
501.78,508.12,516.5,523.14,557.93,544.22,543.09,571.71
503.21,507.23,515.56,522.42,559.73,544.73,543.14,573.8
504.65,506.16,514.49,521.55,561.59,545.17,543.09,575.95
506.07,504.8,513.15,520.41,563.34,545.46,542.84,577.99
507.42,503.05,511.41,518.9,564.88,545.46,542.32,579.84
508.46,500.94,509.26,516.97,566.1,545.08,541.43,581.38
509.13,498.17,506.51,514.45,566.85,544.14,539.92,582.51
509.46,494.98,503.33,511.54,567.32,542.84,538.06,583.35
509.48,491.41,499.73,508.25,567.58,541.25,535.92,584.01
509.39,487.63,495.94,504.79,567.81,539.55,533.66,584.66
509.09,483.4,491.74,500.95,567.81,537.51,530.99,585.07
508.68,478.83,487.18,496.77,567.56,535.19,527.95,585.2
508.55,474.37,482.65,492.62,567.44,532.97,524.97,585.46
508.92,470.3,478.5,488.93,567.85,531.24,522.52,586.27
509.46,466.29,474.43,485.34,568.46,529.6,520.17,587.28
509.88,462.03,470.12,481.5,568.93,527.79,517.6,588.18
510.39,457.78,465.77,477.6,569.41,525.96,514.96,589.08
510.93,453.72,461.57,473.84,570.08,524.28,512.5,590.16
511.32,449.33,457.02,469.75,570.49,522.28,509.74,590.98
510.94,443.7,451.2,464.42,569.85,519.15,505.79,590.77
509.45,436.59,443.93,457.64,567.96,514.73,500.46,589.33
507.03,428.63,435.85,450.09,565.37,509.54,494.4,587.24
504.79,420.71,427.81,442.63,562.94,504.46,488.41,585.28
503.2,413.15,420.11,435.5,561,499.77,482.77,583.77
502.16,406.19,412.97,428.9,559.67,495.67,477.72,582.83
501.33,399.6,406.19,422.63,558.71,491.93,473.01,582.28
500.79,393.21,399.64,416.6,558.01,488.41,468.52,582
500.48,386.77,393.02,410.52,557.3,484.84,463.93,581.73
499.48,379.38,385.35,403.45,555.75,480.37,458.44,580.64
497.37,370.57,376.32,395.08,553.08,474.65,451.71,578.42
494.56,361.22,366.83,386.18,549.92,468.38,444.45,575.65
492.01,352.55,357.86,377.77,547.11,462.49,437.6,573.25
489.43,343.73,348.61,369.18,544.25,456.46,430.61,570.89
486.55,334.17,338.64,360.01,541.04,449.91,423.1,568.23
483.98,324.62,328.77,350.97,538.14,443.55,415.69,565.82
482.22,315.92,319.77,342.85,536.15,438.12,409.05,564.27
481.15,307.96,311.57,335.52,535.03,433.59,403.23,563.56
480.9,300.79,304.13,328.87,534.8,429.97,398.36,563.75
482.03,294.77,297.82,323.33,535.79,427.46,394.66,565.19
484.33,289.73,292.44,318.73,537.73,425.87,391.84,567.69
